category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
113,n03676483,100,0.5,11,1.0,0.0,0.0,0.0,1.0,0.0,0.8711573671463619,0.0,0.0
74,n02992211,100,0.5,3,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.8542395206637067,0.0,0.25055081363013487
167,n04468005,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9518784242601986,0.0,0.0
97,n03394916,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.6497075934510572,0.0,0.4631247919331438
144,n04118538,100,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.8936629132216787,0.0,0.8936629132216787
148,n04154565,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.8466364857457787,0.0,0.49491159163097714
42,n02437136,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.96181297238276,0.0,0.0
61,n02815834,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.951170464641003,0.04404808923282779,0.951170464641003
66,n02879718,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7352510760665939,0.0,0.0
77,n03017168,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7955823266588357,0.0,0.45594410908136285
105,n03494278,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9509110011038542,0.0,0.0
126,n03908618,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9899358536467593,0.0,0.0
127,n03908714,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9412288709228138,0.0,0.9412288709228138
135,n03995372,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9516514442508074,0.0,0.9372495935819876
141,n04070727,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8851880536395956,0.0,0.0
150,n04252077,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8381263809453469,0.0,0.0
172,n04536866,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.6785208597112428,0.0,0.19331077862043694
183,n07695742,100,0.5,9,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,0.0,0.903150412529215,0.0,0.0
98,n03400231,100,0.5,3,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.5745804944146533,0.0,0.0
